# name,lat,lon - place nodes from OpenStreetMap, Greater Melbourne bbox
Laverton North,-37.8301,144.7869
Leongatha,-38.4762,145.9459
Leopold,-38.1892,144.4645
Lillico,-38.1309,145.9373
Lilydale,-37.7577,145.3524
Little River,-37.9639,144.501
Loch,-38.3697,145.7067
Long Forest,-37.658,144.5058
Longwarry,-38.1111,145.7706
Longwarry North,-38.0833,145.7681
Lower Plenty,-37.7388,145.1162
Lynbrook,-38.0559,145.2561
Lyndhurst,-38.0685,145.2307
Lysterfield,-37.9349,145.3018
Lysterfield South,-37.9525,145.2669
Macclesfield,-37.887,145.4752
Macedon,-37.4214,144.5636
Macleod,-37.7204,145.0698
Maddingley,-37.6975,144.4195
Maidstone,-37.7819,144.8742
Main Ridge,-38.3966,144.972
Malvern,-37.8576,145.0351
Malvern East,-37.8768,145.0659
Mambourin,-37.8908,144.5948
Manifold Heights,-38.1374,144.3338
Manor Lakes,-37.8686,144.595
Maribyrnong,-37.7695,144.8902
Marshall,-38.1975,144.3573
Maryknoll,-38.0343,145.6048
Marysville,-37.5098,145.749
McCrae,-38.36,144.9339
McKinnon,-37.9106,145.0386
McMahons Creek,-37.7011,145.8318
Meadow Heights,-37.6512,144.9186
Melbourne,-37.8142,144.9656
Melbourne Airport,-37.6764,144.8365
Melton,-37.6836,144.5828
Melton South,-37.706,144.5718
Melton West,-37.6799,144.5529
Mentone,-37.9814,145.069
Menzies Creek,-37.9191,145.4068
Mernda,-37.5921,145.082
Merricks,-38.3898,145.0885
Merricks Beach,-38.3989,145.1064
Merricks North,-38.352,145.0757
Mickleham,-37.5345,144.912
Middle Park,-37.8512,144.962
Mill Park,-37.6641,145.0643
Millgrove,-37.7515,145.6612
Mitcham,-37.8176,145.1976
Monbulk,-37.8742,145.4286
Monegeetta,-37.413,144.7474
Monomeith,-38.2206,145.5107
Mont Albert,-37.8175,145.1076
Mont Albert North,-37.8033,145.1107
Montmorency,-37.719,145.1256
Montrose,-37.8099,145.3424
Moolap,-38.1803,144.4249
Moonee Ponds,-37.7656,144.9213
Moorabbin,-37.9415,145.0578
Moorabbin Airport,-37.9775,145.0995
Moorabbin East,-37.9435,145.0712
Moorooduc,-38.2432,145.1153
Mooroolbark,-37.7813,145.3257
Mordialloc,-37.9994,145.0961
Mornington,-38.2202,145.0411
Mount Burnett,-37.9757,145.511
Mount Cottrell,-37.7858,144.6244
Mount Dandenong,-37.8478,145.361
Mount Duneed,-38.2317,144.3171
Mount Eliza,-38.1838,145.0893
Mount Evelyn,-37.7873,145.3883
Mount Macedon,-37.4019,144.5874
Mount Martha,-38.2755,145.0308
Mount Toolebewong,-37.7183,145.5614
Mount Waverley,-37.8784,145.1285
Mulgrave,-37.9262,145.1723
Murrumbeena,-37.8969,145.0704
Myrniong,-37.6197,144.3472
Nangana,-37.8755,145.5325
Nar Nar Goon,-38.0821,145.5702
Nar Nar Goon North,-38.0293,145.5653
Narbethong,-37.5475,145.6628
Narre Warren,-38.018,145.3058
Narre Warren East,-37.9627,145.3619
Narre Warren North,-37.9813,145.3129
Narre Warren South,-38.0544,145.3029
Nayook,-37.9208,145.947
New Gisborne,-37.4607,144.5984
Newcomb,-38.1632,144.3953
Newhaven,-38.515,145.3608
Newmarket,-37.7868,144.9285
Newport,-37.8436,144.8805
Newtown,-38.1539,144.3351
Niddrie,-37.7398,144.8848
Noble Park,-37.9695,145.1767
Noble Park North,-37.9513,145.1908
Norlane,-38.0919,144.3537
Norlane West,-38.089,144.3434
North Geelong,-38.1154,144.3508
North Melbourne,-37.7986,144.9452
North Shore,-38.0951,144.3733
North Warrandyte,-37.7236,145.2088
Northcote,-37.7728,145.0009
Notting Hill,-37.9056,145.1456
Nunawading,-37.8173,145.1766
Nutfield,-37.6091,145.1829
Nyora,-38.3333,145.669
Oak Park,-37.7182,144.919
Oaklands Junction,-37.5781,144.8388
Oakleigh,-37.9007,145.0957
Oakleigh East,-37.8996,145.1057
Oakleigh South,-37.9248,145.0922
Ocean Grove,-38.267,144.5249
Officer,-38.0602,145.4099
Officer South,-38.0978,145.4218
Old Warburton,-37.7684,145.6728
Olinda,-37.8559,145.365
Olivers Hill,-38.1561,145.1063
Ormond,-37.904,145.0433
Outtrim,-38.4933,145.7684
Pakenham,-38.0792,145.4833
Pakenham South,-38.139,145.5003
Pakenham Upper,-38.009,145.5043
Panton Hill,-37.6414,145.239
Park Orchards,-37.7778,145.214
Parkdale,-37.9919,145.0813
Parkville,-37.7871,144.9516
Parwan,-37.7368,144.4678
Pascoe Vale,-37.7251,144.938
Pascoe Vale South,-37.7434,144.9385
Patterson Lakes,-38.0694,145.1432
Pearcedale,-38.2016,145.2422
Pennydale,-37.9605,145.0467
Pentland Hills,-37.6514,144.3698
Pioneer Bay,-38.3808,145.5527
Plenty,-37.6674,145.1124
Plumpton,-37.6728,144.6994
Point Cook,-37.9065,144.7533
Point Leo,-38.419,145.0753
Point Lonsdale,-38.2725,144.6137
Poowong,-38.343,145.7644
Poowong East,-38.3204,145.8326
Port Melbourne,-37.8334,144.9219
Portarlington,-38.1157,144.6531
Portsea,-38.3228,144.7004
Powelltown,-37.8631,145.7515
Prahran,-37.8519,145.0006
Preston,-37.7419,145.0078
Princes Hill,-37.7818,144.9666
