# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Café Ruche,-37.955,145.0327,cafe,STANDALONE,123,surface,4
Calcutta Sweets,-37.99,145.2118,restaurant,STANDALONE_PARKING,47,surface,2
Canton Court Chinese,-37.9812,145.1656,restaurant,STANDALONE_PARKING,10,surface,3
Car Wash Cafe,-37.9671,145.0583,cafe,STANDALONE,117,surface,0
Cardens,-37.9845,145.2144,restaurant,STANDALONE,88,surface,4
Carl's Jr.,-37.9437,145.1166,fast_food,STANDALONE_PARKING,15,surface,2
Carnival,-37.9672,145.056,restaurant,STRIP,18,street_side,8
Casa Lee,-37.955,145.0329,fast_food,STANDALONE,118,surface,4
Casa Mia,-37.9566,145.0435,cafe,STANDALONE_PARKING,41,surface,3
Celebrations,-37.9948,145.1743,alcohol,STANDALONE_PARKING,26,surface,5
Cellarbrations,-37.9486,145.1533,alcohol,STANDALONE_PARKING,12,surface,3
Cellarbrations,-37.967,145.0567,alcohol,STANDALONE_PARKING,15,street_side,2
Cellarbrations,-38.0527,145.1168,alcohol,STANDALONE,145,surface,2
Cellarbrations,-37.9589,145.0559,alcohol,MALL,81,multi-storey,3
Cellarbrations,-37.9564,145.0576,alcohol,STANDALONE,227,multi-storey,3
Cellarbrations,-37.9709,145.0916,alcohol,MALL,46,surface,2
Cellarbrations,-37.9488,145.0433,alcohol,STANDALONE_PARKING,8,street_side,5
Cellarbrations,-37.9679,145.1763,alcohol,STANDALONE_PARKING,16,street_side,4
Central Milk Bar,-38.0269,145.1024,convenience,STRIP,18,surface,6
Cessna Espresso Cafe,-37.9729,145.1087,cafe,STANDALONE_PARKING,27,surface,0
Chacha,-37.9497,145.1516,cafe,STRIP,19,surface,14
Chan Kee,-37.9504,145.1531,deli,STANDALONE_PARKING,37,surface,3
Chandler Fish n Chips,-37.9901,145.1829,fast_food,STANDALONE,332,surface,4
Chang Kang Chinese Medicine,-37.949,145.1508,chemist,MALL,17,rooftop,28
Chapel Cellars Four Square Store,-37.945,145.0472,convenience,STANDALONE_PARKING,21,street_side,1
Charcoal Chicken,-37.9411,145.1038,fast_food,STANDALONE_PARKING,45,surface,3
